Use,InitSel,ID#,Name,Designation,IAU/aliases/other,Diameter,Mass,GM,Color
n,n,558,Philophrosyne,2003J15,JLVIII 55067,,,,none
n,n,559,,2017J1,JLIX,,,,none
n,n,560,Eupheme,2003J3,JLX 55061,,,,none
n,n,561,,2003J19,55070,,,,none
n,n,562,Valetudo,2016J2,55078,,,,none
n,n,563,,2017J2,55079,,,,none
n,n,564,,2017J3,55080,,,,none
n,n,565,Pandia,2017J4,JLXV 55081,,,,none
n,n,566,,2017J5,55082,,,,none
n,n,567,,2017J6,55083,,,,none
n,n,568,,2017J7,55084,,,,none
n,n,569,,2017J8,55085,,,,none
n,n,570,,2017J9,JLXX 55086,,,,none
n,n,571,Ersa,2018J1,55087,,,,none
n,n,572,,2011J1,55074,,,,none
n,n,55501,,2003J2,55060,,,,none
n,n,55502,,2003J4,55062,,,,none
n,n,55503,,2003J9,55064,,,,none
n,n,55504,,2003J10,55065,,,,none
n,n,55505,,2003J12,55066,,,,none
n,n,55506,,2003J16,55068,,,,none
n,n,55507,,2003J23,55071,,,,none
y,y,599,Jupiter,,,1.3982E+05,1.8982E+27,126686531.9,Beige
n,n,601,Mimas,,SI,3.9640E+02,,2.503617,none
n,n,602,Enceladus,,SII,5.0420E+02,,7.210497,none
n,n,603,Tethys,,SIII,1.0620E+03,,41.21,none
n,n,604,Dione,,SIV,1.1228E+03,,73.116,none
n,n,605,Rhea,,SV,1.5276E+03,,153.94,none
n,n,606,Titan,,SVI,5.1495E+03,,8978.14,none
n,n,607,Hyperion,,SVII,2.7300E+02,,0.3704,none
n,n,608,Iapetus,,SVIII,1.4690E+03,,120.51,none
n,n,609,Phoebe,,SIX,2.1300E+02,,0.5581,none
y,n,610,Janus,,SX,8.9500E+01,1.9800E+18,,none
y,n,611,Epimetheus,,SXI,5.8000E+01,5.5000E+17,,none
n,n,612,Helene,,SXII,3.0000E+01,,0.00045516,none
n,n,613,Telesto,,SXIII,2.5000E+01,,0.00048,none
n,n,614,Calypso,,SXIV,1.0700E+01,,0.00024,none
n,n,615,Atlas,,SXV,,,,none
y,n,616,Prometheus,,SXVI,9.0000E+01,1.4000E+17,,none
y,n,617,Pandora,,SXVII,9.0000E+01,1.3000E+17,,none
n,n,618,Pan,,SXVIII,,,,none
n,n,619,Ymir,2000S1,SXIX,,,,none
n,n,620,Paaliaq,2000S2,SXX,,,,none
n,n,621,Tarvos,2000S4,SXXI,,,,none
n,n,622,Ijiraq,2000S6,SXXII,,,,none
n,n,623,Suttungr,2000S12,SXXIII,,,,none
n,n,624,Kiviuq,2000S5,SXXIV,,,,none
n,n,625,Mundilfari,2000S9,SXXV,,,,none
n,n,626,Albiorix,2000S11,SXXVI,,,,none
n,n,627,Skathi,2000S8,SXXVII,,,,none
n,n,628,Erriapus,2000S10,SXXVIII,,,,none
n,n,629,Siarnaq,2000S3,SXXIX,,,,none
n,n,630,Thrymr,2000S7,SXXX,,,,none
n,n,631,Narvi,2003S1,SXXXI,,,,none
n,n,632,Methone,2004S1,SXXXII,,,,none
n,n,633,Pallene,2004S2,SXXXIII,,,,none
n,n,634,Polydeuces,2004S5,SXXXIV,,,,none
n,n,635,Daphnis,2005S1,SXXXV,,,,none
n,n,636,Aegir,2004S10,SXXXVI 65038,,,,none
n,n,637,Bebhionn,2004S11,SXXXVII 65039,,,,none
n,n,638,Bergelmir,2004S15,SXXXVIII 65043,,,,none
n,n,639,Bestla,2004S18,SXXXIX 65046,,,,none
n,n,640,Farbauti,2004S9,SXL 65037,,,,none
n,n,641,Fenrir,2004S16,SXLI 65044,,,,none
n,n,642,Fornjot,2004S8,SXLII 65036,,,,none
n,n,643,Hati,2004S14,SXLIII,,,,none
n,n,644,Hyrrokkin,2004S19,SXLIV,,,,none
n,n,645,Kari,2006S2,SXLV,,,,none
n,n,646,Loge,2006S5,SXLVI,,,,none
n,n,647,Skoll,2006S8,SXLVII,,,,none
n,n,648,Surtur,2006S7,SXLVIII,,,,none
n,n,649,Anthe,2007S4,SXLIX,,,,none
n,n,650,Jarnsaxa,2006S6,SL,,,,none
n,n,651,Greip,2006S4,SLI,,,,none
n,n,652,Tarqeq,2007S1,SLII,,,,none
n,n,653,Aegaeon,2008S1,SLIII,,,,none
n,n,65035,,2004S7,,,,,none
n,n,65040,,2004S12,,,,,none
n,n,65041,,2004S13,,,,,none
n,n,65045,,2004S17,,,,,none
n,n,65048,,2006S1,,,,,none
n,n,65050,,2006S3,,,,,none
n,n,65055,,2007S2,,,,,none
n,n,65056,,2007S3,,,,,none
n,n,65065,,2004S27,,,,,none
n,n,65066,,2004S29,,,,,none
n,n,65067,,2004S31,,,,,none
n,n,65068,,2004S26,,,,,none
n,n,65069,,2004S35,,,,,none
n,n,65070,,2004S24,,,,,none
n,n,65071,,2004S23,,,,,none
n,n,65072,,2004S25,,,,,none
n,n,65073,,2004S22,,,,,none
n,n,65074,,2004S32,,,,,none
n,n,65075,,2004S33,,,,,none
n,n,65076,,2004S34,,,,,none
n,n,65077,,2004S28,,,,,none
n,n,65078,,2004S30,,,,,none
n,n,65079,,2004S21,,,,,none
n,n,65080,,2004S20,,,,,none
n,n,65081,,2004S36,,,,,none
n,n,65082,,2004S37,,,,,none
n,n,65083,,2004S38,,,,,none
n,n,65084,,2004S39,,,,,none
y,y,699,Saturn,,,1.1646E+05,5.6834E+26,37931206.16,Beige
y,n,701,Ariel,,UI,1.1000E+03,1.3530E+21,,none
y,n,702,Umbriel,,UII,1.1694E+03,1.1720E+21,,none
y,n,703,Titania,,UIII,1.5780E+03,3.5270E+21,,none
y,n,704,Oberon,,UIV,3.7500E+02,3.0140E+21,,none
y,n,705,Miranda,,UV,4.7000E+02,6.5900E+19,,none
n,n,706,Cordelia,,UVI,,,,none
n,n,707,Ophelia,,UVII,,,,none
n,n,708,Bianca,,UVIII,,,,none
n,n,709,Cressida,,UIX,,,,none
n,n,710,Desdemona,,UX,,,,none
n,n,711,Juliet,,UXI,,,,none
n,n,712,Portia,,UXII,,,,none
n,n,713,Rosalind,,UXIII,,,,none
n,n,714,Belinda,,UXIV,,,,none
n,n,715,Puck,,UXV,,,,none
n,n,716,Caliban,,UXVI,,,,none
n,n,717,Sycorax,,UXVII,,,,none
n,n,718,Prospero,1999U3,UXVIII,,,,none
n,n,719,Setebos,1999U1,UXIX,,,,none
n,n,720,Stephano,1999U2,UXX,,,,none
n,n,721,Trinculo,2001U1,UXXI,,,,none
n,n,722,Francisco,2001U3,UXXII,,,,none
n,n,723,Margaret,2003U3,UXXIII,,,,none
n,n,724,Ferdinand,2001U2,UXXIV,,,,none
n,n,725,Perdita,1986U10,UXXV,,,,none
n,n,726,Mab,2003U1,UXXVI,,,,none
n,n,727,Cupid,2003U2,UXXVII,,,,none
y,y,799,Uranus,,,5.0724E+04,8.6813E+25,5793951.322,LightGreen
n,n,801,Triton,,NI,,,1428.495,none
n,n,802,Nereid,,NII,,,,none
n,n,803,Naiad,,NIII,,,0.00853028,none
n,n,804,Thalassa,,NIV,,,0.0235887,none
n,n,805,Despina,,NV,,,0.116732,none
n,n,806,Galatea,,NVI,,,0.189899,none
n,n,807,Larissa,,NVII,,,0.254844,none
n,n,808,Proteus,,NVIII,,,2.58342,none
n,n,809,Halimede,2002N1,,,,,none
n,n,810,Psamathe,2003N1,,,,,none
n,n,811,Sao,2002N2,,,,,none
n,n,812,Laomedeia,2002N,,,,,none
n,n,813,Neso,2002N4,,,,,none
n,n,814,Hippocamp,2004N1,,,,,none
y,y,899,Neptune,,,3.0599E+04,1.0241E+26,6835099.97,SlateBlue
y,n,901,Charon,,PI,1.2100E+02,1.5300E+21,102.271,none
n,n,902,Nix,,PII,,,,none
n,n,903,Hydra,,PIII,,,,none
n,n,904,Kerberos,2011P1,,,,,none
n,n,905,Styx,2012P1,,,,,none
y,y,999,Pluto,134340,,2.3766E+03,1.3070E+22,869.339078,Tan
n,n,3011,EM-L1,,Lagrange,,,,none
n,n,3012,EM-L2,,Lagrange,,,,none
n,n,3014,EM-L4,,Lagrange,,,,none
n,n,3015,EM-L5,,Lagrange,,,,none
n,n,-2,Mariner 2 (spacecraft),,,,,,none
n,n,-3,Mars Orbiter Mission (MOM) (spacec,,Mangalyaan,,,,none
n,n,-5,Planet-C (spacecraft),,VCO Akatsuki,,,,none
y,n,-6,Pioneer 6 (spacecraft),,,1.0000E+02,6.2300E+01,,none
n,n,-12,LADEE (spacecraft),,,,,,none
n,n,-18,LCROSS Shepherd (spacecraft),,SSC,,,,none
n,n,-18900,LCROSS Centaur Impactor (spacecraf,,,,,,none
y,n,-20,Pioneer 8 (spacecraft),,,1.0000E+02,6.5500E+01,,none
n,n,-21,SOHO (spacecraft),,,,,,none
n,n,-23,Pioneer 10 (spacecraft),,,,,,none
n,n,-24,Pioneer 11 (spacecraft),,,,,,none
n,n,-25,Lunar Prospector (LP) (spacecraft),,,,,,none
n,n,-29,Stardust (bus) (spacecraft),,NExT,,,,none
n,n,-29900,Stardust (SRC) (spacecraft),,,,,,none
n,n,-30,Deep Space 1 (spacecraft),,DS1 DS-1,,,,none
n,n,-31,Voyager 1 (spacecraft),,,,,,none
n,n,-32,Voyager 2 (spacecraft),,,,,,none
y,n,-37,Hayabusa 2 (spacecraft),,,1.0000E+02,5.9000E+02,,none
n,n,-39,Ouna (spacecraft),,,,,,none
n,n,-40,Clementine (spacecraft),,DSPSE,,,,none
n,n,-41,Mars Express (spacecraft),,MEX,,,,none
n,n,-45,Janus-A (spacecraft),,,,,,none
n,n,-47,Genesis (bus) (spacecraft),,,,,,none
n,n,-48,Hubble Space Telescope,,HST (spacecraft),,,,none
n,n,-47900,Genesis (SRC) (spacecraft),,,,,,none
n,n,-53,Mars Odyssey (spacecraft),,,,,,none
n,n,-530,Mars Pathfinder (spacecraft),,MPF,,,,none
n,n,-55,Ulysses (spacecraft),,,,,,none
n,n,-61,Juno (spacecraft),,,,,,none
n,n,-62,EMM (spacecraft),,Hope Emirates,,,,none
n,n,-64,OSIRIS-REx (spacecraft),,ORX,,,,none
n,n,-65,MarCO-A (spacecraft),,Wall-E,,,,none
n,n,-66,MarCO-B (spacecraft),,Eva,,,,none
n,n,-70,Deep Impact IMPACTOR (spacecraft),,,,,,none
n,n,-72,Janus-B (spacecraft),,,,,,none
n,n,-74,Mars Reconnaissance Orbiter (space,,MRO,,,,none
n,n,-76,Mars Science Laboratory (spacecraf,,Curiosity MSL,,,,none
n,n,-74900,MRO Centaur Stage (spacecraft),,,,,,none
n,n,-77,Galileo (spacecraft),,,,,,none
y,n,-78,DSCOVR (spacecraft),,Triana,1.0000E+02,5.7000E+02,,none
n,n,-79,Spitzer Space Telescope,,SST SIRTF (spacecraf,,,,none
n,n,-82,Cassini (spacecraft),,,,,,none
n,n,-84,Phoenix (spacecraft),,,,,,none
n,n,-85,LRO (spacecraft),,,,,,none
n,n,-86,Chandrayaan-1 (spacecraft),CH-1,,,,,none
n,n,-93,NEAR (spacecraft),,,,,,none
n,n,-95,TESS (spacecraft),,,,,,none
n,n,-96,Parker Solar Probe (spacecraft),,SPP PSP,,,,none
n,n,-98,New Horizons (spacecraft),,NH New_Horizons,,,,none
y,n,-111,ICE (spacecraft),,ISEE-3,1.0000E+02,3.9000E+02,,none
n,n,-121,BepiColombo (Spacecraft),,MPO MMO,,,,none
n,n,-130,Hayabusa (spacecraft),,Muses-C,,,,none
n,n,-140,Deep Impact Flyby - EPOXI (spacecr,,EPOXI,,,,none
n,n,-143,ExoMars16 TGO (spacecraft),,,,,,none
n,n,-144,Solar Orbiter (spacecraft),,Solo,,,,none
n,n,-150,Cassini Huygens (spacecraft),,,,,,none
n,n,-151,Chandra Observatory (spacecraft),,,,,,none
n,n,-152,Chandrayaan-2 (ORBITER spacecraft),CH2,CH-2,,,,none
n,n,-153,Chandrayaan-2 (LANDER spacecraft),CH2,CH-2 Vikram,,,,none
n,n,-159,Europa Clipper (spacecraft),,,,,,none
y,n,-163,WISE (spacecraft),,,1.0000E+02,7.5000E+02,,none
n,n,-165,WMAP (spacecraft),,,,,,none
y,n,-168,Mars2020 (spacecraft),,Perserverance Ingenu,1.0000E+02,2.0150E+03,,none
n,n,-170,James Webb Space Telescope (spacec,,JWST,,,,none
n,n,-176,GRAIL-SS Second Stage (spacecraft),,,,,,none
n,n,-177,GRAIL-A (spacecraft),,Ebb,,,,none
n,n,-178,Nozomi (spacecraft),,Planet-B,,,,none
n,n,-181,GRAIL-B (spacecraft),,Flow,,,,none
n,n,-189,InSight (spacecraft),,,,,,none
n,n,-192,THEMIS-B (spacecraft),,ARTEMIS-P1,,,,none
n,n,-193,THEMIS-C (spacecraft),,ARTEMIS-P2,,,,none
n,n,-198,INTEGRAL (spacecraft),,,,,,none
n,n,-202,MAVEN (spacecraft),,,,,,none
n,n,-203,Dawn (spacecraft),,,,,,none
n,n,-204,CONTOUR-A (SPACECRAFT FRAGMENT),,,,,,none
n,n,-205,CONTOUR-B (SPACECRAFT FRAGMENT),,,,,,none
n,n,-206,CONTOUR-C (SPACECRAFT FRAGMENT),,,,,,none
y,n,-226,Rosetta (spacecraft),,,1.0000E+02,3.0000E+03,,none
n,n,-227,Kepler (spacecraft),,,,,,none
y,n,-234,STEREO-A (spacecraft),,AHEAD,1.0000E+02,6.2000E+02,,none
y,n,-235,STEREO-B (spacecraft),,BEHIND,1.0000E+02,6.2000E+02,,none
n,n,-234900,STEREO Third Stage (spacecraft),,,,,,none
n,n,-236,MESSENGER (spacecraft),,,,,,none
n,n,-248,Venus Express (spacecraft),,VEX,,,,none
n,n,-253,Opportunity (spacecraft),,MER-B MER-1,,,,none
n,n,-254,Spirit (spacecraft),,MER-A MER-2,,,,none
n,n,-344,Galileo Probe (spacecraft),,,,,,none
y,n,-486,Herschel Space Observatory (spacec,,,1.0000E+02,3.3000E+03,,none
y,n,-489,Planck Space Observatory (spacecra,,,1.0000E+02,1.8000E+03,,none
n,n,-557,Spektr-R Observatory (spacecraft),,,,,,none
n,n,-610,Juno Centaur Stage (spacecraft),,,,,,none
n,n,-640,Infrared Space Observatory (spacec,,ISO,,,,none
n,n,-760,MSL Centaur Stage (spacecraft),,,,,,none
n,n,-997,NEOCP 6Q0B44E,,B44E,,,,none
n,n,-998,NEOCP J002E3,,,,,,none
n,n,-23230,ETS-6 (spacecraft),,Kiku-6,,,,none
n,n,-910010,Eta-Aquariids_300,,,,,,none
n,n,-910011,Eta-Aquariids_500,,,,,,none
n,n,-910012,Eta-Aquariids_1000,,,,,,none
n,n,-910013,Eta-Aquariids_2000,,,,,,none
n,n,-399050,2015 PDC (simulation),,,,,,none
n,n,-399080,Apollo 8 S-IVB (spacecraft),,,,,,none
n,n,-399090,Apollo 9 S-IVB (spacecraft),,,,,,none
n,n,-399100,Apollo 10 S-IVB (spacecraft),,,,,,none
n,n,-399101,Apollo 10 LM (spacecraft),,Snoopy,,,,none
n,n,-399110,Apollo 11 S-IVB (spacecraft),,,,,,none
n,n,-399120,Apollo 12 S-IVB (spacecraft),,,,,,none
n,n,-100836,Vela-2A (spacecraft),,1964-040A,,,,none
n,n,-101361,LCS-1 (spacecraft),,1965-034C,,,,none
n,n,-102770,Titan-3C RB (spacecraft),,1967-040F,,,,none
n,n,-106197,IMP-7 (spacecraft),,1972-073A,,,,none
n,n,-107964,Atlas-Agena_RB (spacecraft),,1975-055B,,,,none
n,n,-108366,GOES-1 (spacecraft),,1975-100A,,,,none
n,n,-108820,LAGEOS-1 (spacecraft),,1976-039A,,,,none
n,n,-111353,FLTSATCOM 2 (spacecraft),,1979-038A,,,,none
n,n,-112065,SBS-1 (spacecraft),,1980-091A,,,,none
n,n,-112472,GOES-5 (spacecraft),,1981-049A,,,,none
n,n,-113269,WESTAR-5 (spacecraft),,1982-058A,,,,none
n,n,-113631,SATCOM-C5 (spacecraft),,1982-105A RCA-SATCOM,,,,none
n,n,-113901,ASTRON (spacecraft),,1983-020A,,,,none
n,n,-114050,GOES-6 (spacecraft),,1983-041A,,,,none
n,n,-115993,AUSSAT-1 (spacecraft),,1985-076B OPTUS-A1,,,,none
n,n,-116275,AUSSAT-2 (spacecraft),,1985-109C OPTUS-A2,,,,none
n,n,-116908,AJISAI (spacecraft),,1986-061A,,,,none
n,n,-119548,TDRS-3 (spacecraft),,1988-091B,,,,none
n,n,-120452,NAVSTAR-18 (spacecraft),,1990-008A,,,,none
n,n,-122087,AUSSAT-B1 (spacecraft),,1992-054A OPTUS-B1,,,,none
n,n,-122195,LAGEOS-2 (spacecraft),,1992-070B,,,,none
n,n,-122911,Solidaridad-1 (spacecraft),,1993-073A,,,,none
n,n,-122927,Telstar-401 (spacecraft),,1993-077A,,,,none
n,n,-123051,GOES-8 (spacecraft),,1994-022A,,,,none
n,n,-123227,AUSSAT-B3 (spacecraft),,1994-055A OPTUS-B3,,,,none
n,n,-123553,AMSC-1 (spacecraft),,1995-019A,,,,none
n,n,-123581,GOES-9 (spacecraft),,1995-025A,,,,none
n,n,-123754,Echostar-1 (spacecraft),,1995-073A,,,,none
n,n,-123846,MSAT-1 (spacecraft),,1996-022A,,,,none
n,n,-124313,Echostar-2 (spacecraft),,1996-055A,,,,none
n,n,-124720,HALCA (spacecraft),Muses-B,1997-005A Haruka VSO,,,,none
n,n,-124786,GOES-10 (spacecraft),,1997-019A,,,,none
n,n,-125126,HGS-1 (spacecraft),Asiasat-3,1997-086A PAS-22,,,,none
n,n,-125544,International Space Station (space,,1998-067A ISS,,,,none
n,n,-125789,QuikSCAT (spacecraft),,1999-034A,,,,none
n,n,-125989,XMM-Newton (spacecraft),,1999-066A,,,,none
n,n,-125994,TERRA (spacecraft),,EOS-1 1999-068A,,,,none
n,n,-126352,GOES-11 (spacecraft),,2000-022A,,,,none
n,n,-126402,Echostar-6 (spacecraft),,2000-038A,,,,none
n,n,-126407,NAVSTAR-48 (spacecraft),,2000-040A,,,,none
n,n,-126619,EO-1 (spacecraft),,2000-075A,,,,none
n,n,-126639,AMC-8 (spacecraft),,GE-8 2000-081B,,,,none
n,n,-126824,Intelsat-901 (spacecraft),,2001-024A,,,,none
n,n,-126871,GOES-12 (spacecraft),,2001-031A,,,,none
n,n,-127391,GRACE-1 (spacecraft),,2002-012A,,,,none
n,n,-127424,Aqua (spacecraft),,2002-022A,,,,none
n,n,-127783,GALEX (spacecraft),,,,,,none
n,n,-128376,Aura (spacecraft),,2004-026A,,,,none
n,n,-128378,Anik-F2 (spacecraft),,2004-027A,,,,none
n,n,-128485,Swift Observatory (spacecraft),,2004-047A,,,,none
n,n,-128868,Anik-F1R (spacecraft),,2005-036A,,,,none
n,n,-128884,Galaxy-15 (spacecraft),,2005-041A,,,,none
n,n,-129107,Cloudsat (spacecraft),,2006-016B,,,,none
n,n,-129494,DirecTV-9S (spacecraft),,2006-043A,,,,none
n,n,-129520,XM-4 (spacecraft),,2006-049A,,,,none
n,n,-132487,Thor-5 (spacecraft),,2008-006A Thor-2R,,,,none
n,n,-133105,Jason-2 (spacecraft),,2008-032A,,,,none
n,n,-133207,Echostar-11 (spacecraft),,2008-035A,,,,none
n,n,-134381,Kepler Booster (Third Stage) (spac,,,,,,none
n,n,-135491,GOES-14 (spacecraft),,2009-033A,,,,none
n,n,-136032,NSS-12 (spacecraft),,2009-058A,,,,none
n,n,-136134,,,,,,,none
n,n,-136395,Solar Dynamics Observatory (spacec,,2010-005A SDO,,,,none
n,n,-136499,Echostar-14 (spacecraft),,2010-010A,,,,none
n,n,-137218,SKYTERRA-1 (spacecraft),,2010-061A,,,,none
n,n,-137820,Tiangong-1 (spacecraft),,2011-053A,,,,none
n,n,-138250,BEIDOU-M3 (spacecraft),,2012-018A,,,,none
n,n,-138358,NuSTAR (spacecraft),,2012-031A SMEX-11,,,,none
n,n,-138551,Echostar-17 (spacecraft),,2012-035A,,,,none
n,n,-138833,NAVSTAR-67 (spacecraft),,2012-053A,,,,none
n,n,-139089,NEOSsat (spacecraft),,2013-009D,,,,none
n,n,-139166,NAVSTAR-68 (spacecraft),,2013-023A,,,,none
n,n,-139459,Chang'e_3_booster (spacecraft),,2013-070B,,,,none
n,n,-139479,Gaia (spacecraft),,,,,,none
n,n,-140059,OCO-2 (spacecraft),,2014-035A,,,,none
n,n,-140376,SMAP (spacecraft),,2015-003A,,,,none
n,n,-140482,MMS-1 (spacecraft),,2015-011A,,,,none
n,n,-140483,MMS-2 (spacecraft),,2015-011B,,,,none
n,n,-140484,MMS-3 (spacecraft),,2015-011C,,,,none
n,n,-140485,MMS-4 (spacecraft),,2015-011D,,,,none
n,n,-140663,DirecTV-15 (spacecraft),,2015-026A,,,,none
n,n,-140947,2015-056B (spacecraft),,,,,,none
n,n,-141043,LISA Pathfinder (spacecraft),,LPF,,,,none
n,n,-141240,Jason-3 (spacecraft),,2016-002A,,,,none
n,n,-141748,Intelsat-33E (spacecraft),,2016-053A,,,,none
n,n,-143205,SpaceX Roadster (spacecraft),,Tesla Starman,,,,none
n,n,-143241,GSAT-6A (spacecraft),,2018-027A,,,,none
n,n,-143846,Chang'e_4_booster (spacecraft),,2018-103B,,,,none
n,n,-999742,LISA Pathfinder Propulsion Module,,PRM,,,,none
n,n,999787,WT1190F,,,,,,none
n,n,-937001,2017 PDC (simulation),,PDC17,,,,none
n,n,-937002,2017 PDCa (simulation),,PDC17a,,,,none
n,n,-937011,2019 PDC (simulation),,PDC19,,,,none
n,n,-937012,c2019 PDC (simulation),,cPDC19 PDC19-c,,,,none
n,n,-937014,2021 PDC (simulation),,PDC21,,,,none
n,n,-937021,TTX19 (simulation),,,,,,none
n,n,-937022,TTX19a (simulation),,,,,,none
n,n,1000012,,,,,,,none
n,n,1000041,Hartley 2,103P,,,,,none
n,n,1000093,,,,,,,none
n,n,1000107,,,,,,,none
n,n,1003228,Siding Spring,2013 A1,,,,,none
n,n,9037734,ISON_NG1,,,,,,none
n,n,9037735,ISON_NG2,,,,,,none
n,n,2000001,,,,,,,none
n,n,2000004,,,,,,,none
n,n,2000253,,,,,,,none
n,n,2000433,,,,,,,none
n,n,2006489,Golevka,1991 JX,6489,,,,none
n,n,2101955,,,,,,,none
n,n,2002867,,,,,,,none
n,n,2099942,,,,,,,none
n,n,3430291,2008 TC3,,,,,,none
n,n,2486958,Ultima Thule,3713011,,,,,none
n,n,9901489,2018_AV2 (spacecraft),,,,,,none
n,n,9901490,9O0DC57 (spacecraft),,,,,,none
n,n,9901885,9U01FF6 (spacecraft),,,,,,none
n,n,-9901491,Tianwen-1 (spacecraft),,,,,,none
n,n,-54054450,1966-084B,,2020 SO,,,,none
